F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-8.6383925445991,2.53377956880565,-0.159239830386185,0.819754563818226,-0.546537263157273,-0.144513217898512,-0.379393409242585,0.00661010787959218,0.301692815273902,-0.268112354369094,0.165299323798564,-0.0158847767352235,0.11605708386352,0.0563593345587499,-0.391968485106341,0.180919690959113,0.146342547671762,-0.0895770941139225,-0.199786933281051,0.192158054622719,0.0248358543261929,-0.0039492233716342,-0.134032423166334,0.0594628419039666,0.0831561456046855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-8.615216222776,2.39128217065713,-0.0444014005339783,0.881410250928358,-0.641292716594959,-0.163939366069248,-0.341570673737673,-0.0422279910484769,0.33477747248363,-0.243667708020255,0.128962995246439,0.0420473261845888,0.0468426924432322,0.0323619488342179,-0.342791532988263,0.170074462437367,0.183568739751191,-0.147752719914031,-0.156072703501836,0.214578083557074,-0.00769984850227603,-0.0296420419555522,-0.133656240460293,0.105807733070961,0.0537988524037416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-14.5397990471172,0,0,0,-8.40989259319708,2.11884729140343,-0.272008276414895,1.23363208814319,-0.828802489897763,-0.157014630389701,-0.270950298824615,-0.15726288778358,0.470461323210786,-0.276432089696636,0.0821446978763865,0.1072636265092,-0.0326207304427803,0.0313804381918641,-0.24120319733532,0.0465626749391046,0.157077484748704,-0.106593219227478,-0.0877001399018335,0.199618777472608,-0.0959036586151726,0.00919986967405797,-0.0599096416527034,0.0604706311037247,0.024193729012042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.277015003714138,0,0,0.507459375185293,-8.11713487511315,1.95086554546538,-0.660637613429659,1.56329324385629,-0.967922851069166,-0.13354342107576,-0.341243869565552,-0.0788383399456962,0.54822608247868,-0.327342154383306,0.154598344107268,0.0162732757166799,0.0162780571628679,0.0443303959767282,-0.198327588139934,0.00277787415550911,0.0705280103101153,-0.0619273090838928,-0.0324110746956182,0.211195880912006,-0.182120954226545,0.0325365222661147,0.030841127409323,0.00788834461675382,-0.038517547939068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.250846561292594,0,0,0.120338744323796,-8.05113470724082,2.06224749994917,-0.92153748691941,1.6942275733079,-1.19576264153712,-0.0516562329085907,-0.495635974990254,0.0178612735721948,0.495816715476969,-0.349153887706984,0.228199595645109,-0.0839598220511369,0.118037357968879,-0.0355813674046843,-0.0860479389464902,-0.0271494251596961,0.0462036390956913,-0.0650957417021621,-0.00642905921411753,0.200577165650145,-0.207408465583055,0.0723215395141973,-0.00272271570862821,0.0392262937980074,-0.0809404173113634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.260585822823442,0,0,0.168883222941834,-8.04591615649264,2.10976503662988,-0.983362289910947,1.76392568894628,-1.34002840538436,-0.0302132135717111,-0.581064906797849,0.112929707999192,0.415871448226973,-0.367874644643751,0.271636231424384,-0.164613374738215,0.235938030592053,-0.103481328752148,0.0245003018994005,-0.177918247448417,0.0781505036056983,-0.050826253517131,0.0371943298935159,0.166922601312503,-0.246322845665787,0.130709119554142,-0.0293791871451649,0.0423321262292267,-0.0797749970088176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.270638007970386,0,0,0.168720146929012,-7.97936961758028,2.05277187181702,-0.890507669503403,1.71800292406081,-1.263471790362,-0.106542750433445,-0.60014331443433,0.16476828239134,0.377233131710715,-0.31179773605311,0.267412107738743,-0.188790305412632,0.273779296654592,-0.129766709977042,0.0545242284077406,-0.238480289939939,0.114437447220389,-0.0803762126572506,0.0798639179521486,0.155576820343979,-0.263063559519329,0.125967993484345,0.0298750813038946,-0.0195312535897478,-0.078364125802595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.283208429552064,0,0,0.246918265852323,-7.99386206148356,2.1192666345019,-0.744401136308342,1.54569980185552,-1.09498275109895,-0.217306158824815,-0.546909011073042,0.11948530291619,0.387922503405165,-0.197114192539182,0.198831845415876,-0.117477294987166,0.150980596076406,-0.12801402856427,0.0222374283471952,-0.124841708128736,0.0779862393216479,-0.147049232125805,0.111319400811396,0.165919800360299,-0.268267055738521,0.145850876453136,0.0317419904710175,-0.0467816258271441,-0.0893545109787913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.296260168246566,0,0,0.255745164965824,-8.12877029391177,2.23906472832173,-0.473400316675291,1.24159013861975,-0.832867886896268,-0.389836074023953,-0.393598460964509,0.0720225634436572,0.377115020899021,-0.0634113813303794,0.141310463591349,-0.0676832722878321,0.0032802927771051,-0.0592858909495201,-0.0662114038461158,-0.0413432054679941,0.0122701492473989,-0.00967388081823367,0.0197118032455776,0.123710617300193,-0.224152914795457,0.12492378557586,0.0756282763603759,-0.0785890357196404,-0.0653679700217861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,0,0,0,0,0,-0.32303543232989,0,0,0.227610663610282,-8.22972128012529,2.25002659780303,-0.406741753763828,1.10169529377769,-0.682410032438419,-0.401923475097513,-0.38500547401861,0.0885226085391317,0.299262709370661,-0.0313303986220191,0.178223973033698,-0.0598027186128986,-0.0216761710318511,-0.0204032741153408,-0.123714300786183,-0.0446333593352199,0.0966253341654315,0.0448176353170143,-0.0681441520866676,0.0942658683788923,-0.200417939948419,0.127933832276846,0.0902308946719465,-0.0881492573267927,-0.0645342202713971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.5,1,0.0763090322198027,0.51353602665556,0.720636410391842,0.15453965069158,0.0906289046230737,-0.305530992542902,1.11406358577568,0.599342748046447,0.229764625789912,-8.37221147477929,2.14036088689763,-0.298114982868101,1.06190544155137,-0.578131705603449,-0.424787088106111,-0.456374478134357,0.122995051941115,0.234551630538321,-0.11235620298733,0.131207994963613,-0.0312093771578455,-0.00151235115546516,0.022257300125526,-0.124133472097763,-0.00687293303275125,0.128719710838311,-0.0604333521304884,0.0248245986448739,0.0703175797725148,-0.225110328263207,0.136348595769516,0.100830837671112,-0.0862560887210842,-0.10416033063623,0,0,0,0,0,0,-9.89741397125497e-06,-0.000943520466462898,-0.00234322965096505,0.181567889588197,1.07076200377861,2.27831273466009,3.12505520108931,-2.78622265791659,2.34636303115871,1.96666444861077,2.25230570317615,-0.0428603897678806,2.98877225706689,2.61882972579114,-1.90820599748225,1.64330810530015,-3.136665432938,2.25533285974122,-0.131838488729541,-7.80265610128719,0.0334735384170106,0.328773430727394,0.208699441025635,0.609661552703113,0.388044938353154,0.11059248521143,-0.197675932008852,-0.418949381309746,-0.293781617052996,-0.336067681225301,-0.0436529076287134,0.454018520455664
164,1,0.102909185849257,0.494086609238124,0.311528820913935,0.209447733540118,0.106327342690979,-0.23349631961272,0.998066730192709,0.596325973887718,0.22352292227,-8.82934295520527,2.21526576715283,-0.0492794897586791,0.9253524149428,-0.452543495287348,-0.455340345967613,-0.459051838404151,0.10164312777678,0.194371066881029,-0.120159277556178,-0.0402273923183388,0.00187972224183084,0.0667328811729812,0.105873764397273,-0.135514320211903,0.032171500727174,0.0634739152935547,-0.0850835784143237,0.101922104218346,0.0477721800800098,-0.209768747199113,0.0745339841149876,0.0956964588756253,-0.0495575189051292,-0.056661494686579,0,0,0,0,0,0,-2.99428154947939e-05,-0.00285507692354271,-0.00710097556798548,0.16487601402195,1.03953124442638,2.27066417646851,3.11558060537838,-2.81172600421748,2.33494203247213,1.97814183992994,2.23446416643109,-0.0522298133613487,2.96348932816059,2.60876758299582,-1.9131412649874,1.64581736962461,3.12572368605236,2.27199831968063,-0.141224230537736,-1.35414942988438,-1.42295145371163,-0.767697618770347,-0.697789462685248,-0.479671604166375,-0.701636448277,-0.717581924591952,-0.784048632767517,-0.602742570872394,-0.178361327446863,-0.290125297757202,-0.164194274000009,0.0332639218028754
