F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-10.9458546513144,1.57365185169372,0.836021010655324,0.814840568097924,0.921848271401986,0.642490830341869,0.41044486405149,0.259847860372983,0.0935923770554066,0.101037006622222,-0.00359596398178104,0.0685114521282296,0.0579206152765291,-0.0360217746234072,-0.0336414705764825,-0.0828790208767456,0.00892482434928384,0.0402084562920668,0.0256315012002321,-0.0537976722702571,-0.0225036013651361,0.0191402908628798,0.0487421717461314,-0.0122668069176149,-0.0672809691998784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-10.9604013917595,1.6364826124988,1.01555377025268,0.877159495787868,0.86272802304741,0.565082448222021,0.264941832666148,0.196813778089828,0.097290632931759,0.107524883374686,-0.0234442753558234,0.0716483838252039,-0.0537763729257041,0.0165682901833908,0.0119996788133771,-0.0401724593126274,-0.0347632507449608,0.0179133704745747,0.00342299016378152,-0.0140894863427021,-0.0053569690135754,0.020237672539974,0.0223701311713837,-0.0291414047583397,-0.0531768411138732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-9.13139876555456,0,0,0,-10.9865521251899,1.7070407578392,1.07507695143624,0.970368295486858,0.720231844215231,0.656950492691585,0.243618521332984,0.169524773032916,0.053833216285429,0.16452948615814,-0.0313629324913701,0.0223130032516157,-0.145388491315207,-0.0418124531539395,0.0253917152684097,0.0253905383546192,0.0134742036566309,0.00917316286060591,-0.0585505620319562,0.0256359768424823,-0.0289860512750379,0.0772805173140892,-0.0640732236916177,0.0149616928212838,-0.0100252670991404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.3097947640323,0,0,0.553074705223129,-10.9167283971589,1.85821563731392,1.02209089114636,0.854287510139611,0.641372639761083,0.62917950245521,0.461501880445257,0.0688695119179673,0.0413379163453928,0.102571004996485,0.0263644039014664,-0.000183485704447822,-0.165787073855686,0.0144943723663051,-0.0253907394723484,-0.00374241132851165,0.0454931846296122,0.0170966682810137,-0.0191824820210353,-0.0393096383747059,0.0111353885272896,0.0465062787256717,-0.0540127242597301,0.0328339274299435,-0.014318742583474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.3097947640323,0,0,0.191590175436408,-10.9178545131905,1.8557291357693,1.32594441922841,0.780064959538826,0.439307843359649,0.509752022474115,0.530084409078273,0.189833104967417,0.116967804678554,-0.0809305542701362,-0.0536240768261262,-0.000394557401077798,-0.149146587174668,0.0754853897936363,-0.0252416931408179,-0.00573783517232125,0.00339257702118285,0.061675419951618,-0.0350002180458896,-0.0609362870041864,0.0551661581398717,0.0043651123552723,-0.0199353080931208,0.0145125926109087,-0.0273163074188028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.3097947640323,0,0,0.293895693543285,-10.9240957290205,1.74545639952732,1.321978559945,0.751446910700346,0.40321911161371,0.506843367952073,0.402001142911103,0.335924640074671,0.080100166920589,0.0609922159440194,-0.0200447998137064,0.0894472463154534,-0.0899013472163399,-0.0657714807125966,-0.0709095379249548,0.0716880231003659,-0.0332995658994902,0.0903297215380243,-0.0480221593945901,-0.0465097644323837,0.015039368747751,0.0245759311148275,-0.00789735877819806,0.0190127617985183,-0.0509783776547913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.315872024408924,0,0,0.389395362239574,-10.7756087622427,1.7075995305104,1.02300920522621,0.797242796478439,0.534199333425295,0.545214130685287,0.358470068183333,0.295010678573883,0.0747802044997124,0.0712074871383762,-0.0419336302315826,0.122315075724831,-0.0207746556255111,-0.114913025099203,-0.0989913934296525,0.113457203081119,-0.029285419271389,0.0165922155153748,-0.00435654538786525,0.0096676586177428,-0.0493815647765896,0.0231603355635201,-0.00732215297950627,0.0800141514587279,-0.125417785164489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.321812271164973,0,0,0.459988429030855,-10.7900117046948,1.61160958040119,1.06297606706432,0.900350738600149,0.561117235064245,0.565922733821614,0.334703939063241,0.273359417165058,0.100240975287897,0.0225542500511352,-0.188024957214435,0.0283334406227818,0.0538619860850668,0.017862387845395,-0.116353606707342,0.0650754075274123,0.0324979954180167,-0.0779995587483767,0.00388914662563868,0.0602228423258905,-0.0313755140864467,-0.00947490127814985,-0.0447444116141072,0.12109013670095,-0.0917998403645945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.307830186550689,0,0,0.44720381407647,-10.7509661346096,1.75420217119188,0.952423631751801,0.876045887947286,0.664043094403442,0.448273820109012,0.286964831661623,0.290054044436208,-0.0463605974620994,0.0321203204442896,-0.107890857503386,0.0195673317890619,0.0814683644170347,0.0109142265424259,-0.0866978883832443,-0.00491269759268922,0.045425895384509,-0.0132949392668224,-0.0327158838379873,0.000792988451882271,0.0513222986119569,-0.0440603593499196,-0.0197464705655637,0.0566876551629552,-0.0174536476058037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.5,0,0,0,0,0,0,-0.296860372635196,0,0,0.420653033964417,-10.6268944716089,1.92463349951259,1.05778034722482,0.940988913088397,0.724814571485253,0.410212525124426,0.227394330896393,0.126628535708761,-0.266349216655669,-0.127232305643555,-0.0216142835786933,0.062415286175821,0.0942398988281564,-0.0488736169027751,-0.116528167186645,0.0917076940999409,-0.00535988759206072,0.0159364243624522,-0.0373344253987862,-0.00483814814164967,0.0362175310816297,-0.0199148312071711,-0.000172119461577286,-0.00634497711724113,0.0126986345655705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
