F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-10.235382446002,1.85036767051713,0.59157627535415,0.338653772624745,0.335540909305209,0.178840975441136,-0.0176123725711509,0.0750929201465621,0.1857567584764,-0.0926189016832367,-0.191475367197526,0.0747878176387953,0.000853896621900767,0.0400484671336942,-0.0132269303401643,-0.0613401042502056,0.0785334568560082,-0.0394214762374484,-8.41383801704412e-05,-0.00144418833443388,0.0272240704044668,-0.0379391495792992,0.0147682606788142,0.0252460041409958,-0.0587274945122029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.963200429377275,-10.168835097233,1.89352472697769,0.646335042910683,0.36962390709882,0.305480307225008,0.076064229581362,0.00200544630983796,-0.0206372707277779,0.120882203417688,0.0185650694982985,-0.192374783676365,0.0378598368991298,0.0401176340024425,0.0330393044005149,-0.0581023779906445,0.0036974330262792,0.0384378104659792,-0.0409143396178132,0.0264459758846725,-0.0187375145374532,0.0147929354677786,-0.00429632698479601,-0.0168107201616519,0.040860673452533,-0.0602981108708741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0421745608357275,0,0,0.482897082087218,-10.0128601531418,2.14611382242942,0.717410844866322,0.315244937314154,0.340760219812229,0.000340919711418652,-0.0973828771933711,-0.02640082226042,0.172960685549947,-0.0326544226794125,-0.157055399756383,0.0524648158830574,0.0257570700635775,0.00943643895613223,0.00204653595836423,-0.0518405656045082,0.039157613948805,0.0160590997229104,-0.0453031619238649,0.0342601028938031,-0.0171667870201394,0.0163521671526536,-0.0291538955043685,0.0419321425681771,-0.0470861794161296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0873296670562949,0,0,0.492271835383312,-10.0532569174133,2.08057945069743,0.672628235084303,0.579369381444511,0.590929056802701,0.21672511027738,-0.167903252034589,-0.0262090674082043,0.129679176251784,-0.0566209797138099,-0.140043799742519,0.0918350836128927,-0.0217952646951895,-0.00767827729993795,0.0497275796912946,-0.0535040623327347,-0.00384980427204053,0.0453182905126916,-0.0422688718812568,0.0281217995963916,-0.0305198519813844,0.0376216171185065,-0.0358303422185575,0.0272596591442621,-0.0233429676548697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0957365031180657,0,0,0.692893219968906,-10.1263340828933,1.89714164385636,0.703352027238002,0.807395594959545,0.583524076620567,0.306858030497999,-0.267374877316059,-0.0499330504053128,0.162816673960545,0.00492750518478295,-0.191563422374825,0.134566159434271,-0.129722658508343,0.101606135610992,0.00361291922810556,-0.0574188260838776,0.0333417433494525,-0.0126190011551804,-0.00321096262430279,0.0410764278877508,-0.0810678755421481,0.0808802735634789,-0.0428260456485489,0.00321230131242768,0.0084457976216286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.115050286857074,0,0,0.469561542873335,-10.0032107139031,2.14828227551716,0.711610098482061,0.61570081022317,0.322747916191522,0.23486161748252,-0.203206770459802,0.0279963378896461,0.164552064555596,-0.0155752237968828,-0.165425252550288,0.0571788839032824,-0.0804568968580596,0.138703687899624,-0.0470715346925466,-0.0485238169593284,0.0383098498717008,-0.00198798352763737,-0.0170892641504498,0.0410468764998821,-0.0695861293483326,0.0687220548950384,-0.0349499002034714,-0.000330449370100707,0.00851154493221457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.287246866414204,0,0,0.473032062126379,-9.95910632275037,2.24411581416109,0.606047116837572,0.55042966884251,0.302204748809933,0.173281664355839,0.027719343129539,0.0314915299355736,0.141458786981676,-0.0660848234045344,-0.161235961196706,0.0263344319248974,0.0373536440014937,0.00276318203690445,0.0322102341998283,-0.0810446842063506,0.0812643958789153,-0.0869526221387159,0.0913136543572132,-0.0536960130667416,-0.00895110478131507,0.038586127507391,-0.0222959463828773,-0.00403924189174811,0.00417873053637594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.384655400999304,0,0,0.475090485853473,-9.97465686340691,2.23216490268197,0.633638233731014,0.63428046030553,0.291876621752399,0.0962350704812162,-0.0822000026208326,0.204871783989807,0.105555889018049,-0.104682718537089,-0.166388625473718,0.0843469960469774,0.00236180667734116,0.00896652759996418,0.00300364340646288,-0.0503107018114604,0.0968204421713598,-0.120379724327324,0.0869447916919029,-0.0150289953781349,-0.0396988910045695,0.0462989843144239,-0.0273283809748363,0.0155504780478533,-0.0221060244740868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.317537972113908,0,0,0.605964919698726,-9.98529443857917,2.25868125324074,0.858121577942989,0.725494224121086,0.208436993003011,0.135046822943582,-0.202241305050664,0.259832843841101,0.112920748954829,-0.14969495215579,-0.156891749666703,0.140414693559569,-0.0729599014224844,0.0906758354592156,-0.0733726126510631,0.00220583831237814,0.0428616408074038,-0.0261876330255881,-0.0341202504483732,0.0798304640975208,-0.076248064868294,0.0375969935487377,-0.00498867651113095,-0.00239686255366237,-0.00661077217666109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,-0.31029117202356,0,0,0.644900127535944,-9.91139100999288,2.1196261512336,0.944564032721863,0.63365691025357,0.356311932930275,0.124769595045242,-0.0886084758188971,0.082182157536062,0.171935506481231,-0.0617016559139532,-0.170920284068274,0.0184415841179024,0.0431340291295881,0.0360383008134747,-0.0706226427995574,0.048917673709266,-0.0312687255725942,0.0407864323570359,-0.0789368478253131,0.0993315743501967,-0.0674980495093193,0.00674510607666323,0.0281088864555565,-0.0195784613346949,-0.00717848338173878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
