"","Timestamp","Age","Gender","Country.of.birth","Country.of.residence","Native.language","Native.language2","Native.language3","Aggressive_harsh1","Aggressive_harsh2","Bored_modal1","Afraid_creaky1","Bored_creaky2","Sad_modal1","Joy_Creaky3","Sad_whisper1","Afraid_whisper2","Joy_whisper2","Sad_harsh3","Joy_modal2","Bored_harsh3","Aggressive_creaky4"
"1","10/28/2020 14:10:30",31,"Male","USA","USA","English",NA,NA,5,3,4,2,2,4,2,2,3,2,2,3,5,2
"2","10/28/2020 14:19:22",29,"Male","UK","UK","English",NA,NA,5,3,3,6,2,2,2,1,2,4,5,1,6,1
"3","10/28/2020 14:42:10",36,"Female","USA","Germany","English",NA,NA,5,6,3,6,5,2,3,1,3,3,1,4,1,1
"4","10/28/2020 15:25:26",27,"Male","Denmark","Denmark","Danish",NA,NA,5,4,4,7,6,1,4,5,4,6,2,7,3,6
"5","10/28/2020 16:08:07",24,"Female","Denmark","Denmark","Danish",NA,NA,6,5,2,2,5,1,4,4,3,3,4,3,5,1
"6","10/28/2020 16:39:10",21,"Female","Switzerland    ","Denmark","Danish",NA,NA,6,6,3,7,4,3,3,3,1,3,1,4,4,1
"7","10/28/2020 16:49:43",53,"Male","Argentina","Denmark","Spanish",NA,NA,5,4,5,6,7,2,1,1,2,4,1,2,2,1
"8","10/28/2020 17:16:56",29,"Female","Denmark","Denmark","Danish",NA,NA,4,3,2,3,3,1,1,1,1,2,2,2,1,1
"9","10/28/2020 17:23:39",23,"Female","Venezuela","Denmark","Spanish","Portuguese",NA,6,2,6,4,7,2,1,2,4,1,4,3,4,1
"10","10/28/2020 17:36:36",31,"Female","Argentina","Argentina","Spanish",NA,NA,3,6,5,3,7,4,2,1,3,3,1,2,1,1
"11","10/28/2020 17:40:43",36,"Male","Argentina","Argentina","Spanish",NA,NA,4,3,4,5,7,1,4,1,4,1,2,4,3,1
"12","10/28/2020 18:07:11",36,"Male","Argentina","Argentina","Spanish",NA,NA,3,2,2,5,2,1,3,2,4,2,1,5,3,1
"13","10/28/2020 18:22:21",39,"Male","Argentina","Argentina","Spanish",NA,NA,6,2,4,2,3,3,2,3,5,2,5,4,5,2
"14","10/28/2020 18:48:54",20,"Female","Germany","Denmark","German",NA,NA,5,6,4,5,4,1,2,1,3,4,1,4,3,1
"15","10/28/2020 20:12:31",48,"Female","Sweden","Denmark","Danish",NA,NA,2,5,4,2,5,2,1,1,1,2,2,2,5,1
"16","10/28/2020 20:27:13",21,"who knows? not me, that's for sure","Denmark","Denmark","Danish",NA,NA,6,7,4,3,1,2,1,1,1,1,1,4,1,2
"17","10/28/2020 20:29:35",21,"Male","Denmark","Denmark","Danish",NA,NA,6,7,3,1,5,2,3,1,5,2,2,5,2,2
"18","10/28/2020 22:01:58",25,"Female","Denmark","Nicaragua","Danish",NA,NA,5,4,2,3,5,1,2,1,4,2,5,3,5,2
"19","10/28/2020 22:37:40",28,"Male","Denmark","Denmark ","Danish",NA,NA,5,3,3,6,1,2,2,1,3,6,2,5,1,1
"20","10/28/2020 22:58:09",22,"Female","Denmark","Denmark","Danish",NA,NA,5,4,3,4,2,3,2,3,3,4,5,5,3,1
"21","10/29/2020 0:39:08",32,"Male","Australia","Australia","English",NA,NA,5,3,3,6,5,2,4,3,4,4,3,5,5,1
"22","10/29/2020 3:06:56",37,"Male","Argentina","Japan","Spanish",NA,NA,6,5,4,6,5,4,4,4,5,2,5,3,6,2
"23","10/29/2020 8:43:39",22,"Female","Denmark","Denmark","Danish",NA,NA,6,5,3,3,3,4,2,2,3,2,3,1,4,2
"24","10/29/2020 12:44:15",55,"Female","Argentina","Denmark","Spanish","danish",NA,7,7,1,4,6,1,1,4,5,2,1,1,7,1
"25","10/29/2020 13:07:50",30,"Male","Denmark","Denmark","Danish",NA,NA,5,6,4,5,6,2,2,1,1,2,2,1,3,1
"26","10/29/2020 13:08:13",19,"Female","Denmark","Denmark","Danish",NA,NA,6,5,4,5,6,3,3,1,3,4,4,2,4,1
"27","10/29/2020 13:11:07",27,"Male","Denmark","Denmark","Danish",NA,NA,7,3,6,7,7,1,1,1,1,4,2,3,5,5
"28","10/29/2020 13:14:12",19,"Male","Denmark","Denmark","Dansk","engelsk","arabisk",7,7,7,4,7,1,1,1,1,4,5,5,5,1
"29","10/29/2020 13:14:13",19,"Non-binary","Denmark","Denmark","Danish",NA,NA,6,6,2,1,1,1,4,1,1,2,4,3,1,1
"30","10/29/2020 13:15:23",33,"Non-binary","Denmark","Denmark","Danish",NA,NA,6,7,4,6,3,2,1,1,2,1,4,1,3,1
"31","10/29/2020 13:19:17",23,"Female","Denmark","Denmark","Danish",NA,NA,7,6,5,7,5,1,1,1,3,5,3,2,5,2
"32","10/29/2020 13:22:45",21,"Female","Denmark","Denmark","Danish",NA,NA,6,6,3,6,5,1,2,1,3,2,4,3,4,2
"33","10/29/2020 14:57:11",33,"Female","Argentina","Germany","Spanish",NA,NA,5,4,2,7,3,4,3,1,2,4,4,5,4,1
"34","10/29/2020 16:34:01",38,"Male","Argentina","Argentina","Spanish",NA,NA,7,4,3,5,6,1,1,1,5,1,1,4,2,5
"35","10/29/2020 17:24:22",54,"Male","Canada","Canada","English",NA,NA,5,5,3,4,3,2,2,1,3,2,1,2,5,2
"36","10/29/2020 17:26:47",23,"Female","Denmark","Denmark","Danish",NA,NA,6,5,4,2,5,2,3,2,5,3,5,4,2,2
"37","10/29/2020 18:12:56",26,"Male","Denmark","Denmark","Danish",NA,NA,6,6,2,4,6,2,4,1,5,1,1,2,6,1
"38","10/29/2020 18:41:29",27,"Female","Denmark","Denmark","Danish",NA,NA,4,6,2,1,1,1,3,1,1,4,4,3,3,1
"39","10/29/2020 22:58:25",25,"Male","Denmark","Denmark","Danish",NA,NA,7,5,2,5,1,1,1,1,6,4,5,4,5,1
"40","10/30/2020 12:34:48",23,"Female","Denmark","Denmark ","Danish ",NA,NA,6,6,2,1,2,1,2,1,3,5,2,3,4,1
"41","10/30/2020 15:28:17",23,"Female","Italy","Denmark","Italian",NA,NA,3,5,3,1,5,1,1,1,1,3,2,2,5,1
"42","10/30/2020 16:33:21",22,"Non-binary","Denmark","Denmark","Danish",NA,NA,7,7,4,5,4,2,3,3,4,3,3,4,3,2
"43","10/31/2020 21:15:02",23,"Female","Germany","Germany","German",NA,NA,5,1,2,5,7,1,3,4,2,2,5,3,6,1
"44","10/31/2020 21:55:47",23,"Female","Argentina","Argentina","Spanish",NA,NA,2,1,2,6,6,1,3,1,3,1,6,5,1,1
"45","11/1/2020 12:03:49",23,"Male","Denmark","Denmark","Danish",NA,NA,7,7,4,7,4,4,5,4,4,3,1,4,4,1
"46","11/2/2020 9:39:08",22,"Female","Denmark","Denmark","Danish",NA,NA,5,5,4,5,4,2,3,1,1,1,4,3,5,2
"47","11/2/2020 11:37:25",22,"Female","Denmark","Denmark","Danish",NA,NA,6,7,1,4,1,2,1,2,3,4,2,5,1,1
"48","11/3/2020 11:44:11",40,"Female","Czechoslovakia","Denmark","Czech","Slovak",NA,4,4,5,6,6,1,1,1,1,1,2,4,3,1
