F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
1117,1781,2508,3523,4523
1117,1781,2586,3641,4508
1094,1883,2648,3875,4898
1836,2602,3445,3758,4719
1281,1734,2531,3578,4523
1141,1734,2531,3273,4125
1117,1992,2641,3227,4180
867,1727,2133,2656,4328
602,1727,1984,2672,4039
773,1773,2328,2828,3906
852,1688,2375,2883,4102
797,1703,2375,2563,2852
656,1781,2563,2852,4063
711,1727,2406,3102,3844
828,1727,2414,3242,3844
688,1242,2328,3930,4789
891,1242,1695,3055,4828
695,1109,1789,3117,4703
563,1109,1188,3031,4797
656,1188,1844,3156,4773
594,1297,1953,3102,4773
633,2328,3195,3719,4250
555,2281,3125,3672,4656
422,1281,2531,3063,4336
719,1266,1781,2820,4117
602,1883,2391,3328,4258
805,2297,2813,3211,4258
648,2375,2813,3500,4258
625,2227,3195,3500,4242
984,1680,2484,3047,3688
445,1063,1688,2461,4680
805,1688,2391,3688,4914
828,1953,2352,3188,3820
641,1898,2367,3125,4125
648,1898,2422,3070,3617
727,1898,2484,3125,4336
813,1898,2328,3047,4391
617,1898,2297,3148,4586
602,930,2359,2906,4586
602,930,2352,3211,4469
656,930,2406,3125,4602
0,719,2438,3125,4484
758,2484,2742,3125,4398
781,2125,2484,2742,4359
727,2125,2867,3344,4289
672,1266,2469,2617,3102
1141,2219,2891,3461,4445
695,1453,2297,3203,4719
836,2188,2391,2883,4758
750,2336,3117,3664,4453
648,1156,2430,3695,4453
883,2289,2758,3789,4484
656,1000,2281,2828,3766
953,2094,3648,4406,4945
1484,2375,3648,3992,4891
1320,2281,2945,3797,4383
1016,1320,2281,3117,4289
1250,2141,3172,3695,4227
1195,2023,2719,3172,4023
719,1055,2188,2766,4320
563,2313,2766,4203,4820
617,2328,2984,3898,4797
656,2133,2680,3891,4820
680,2133,2695,3891,4328
648,1883,2516,2945,4391
648,1219,1672,2734,4750
703,1195,1750,2742,4648
375,703,945,3945,4766
945,2563,3039,3945,4406
531,1055,2602,3211,3945
523,1086,2594,3883,4680
539,1102,2617,3703,4594
531,1109,2445,2953,4617
500,1313,1836,2445,2953
531,1328,1836,2922,4531
531,1344,1859,2875,4445
516,1289,1859,2773,4898
500,1297,1508,2781,4844
508,1211,2031,2977,4266
500,2141,2961,3750,4484
477,2172,3008,3906,4492
484,2141,2992,4008,4445
508,2148,2938,3867,4461
516,2125,2938,3945,4461
516,2039,2953,3766,4461
508,2172,2969,3750,3898
484,1477,1984,2961,3781
508,1477,2016,2242,2961
508,1469,2156,2867,3742
516,1320,2211,2914,3977
531,1320,2211,2922,4000
578,1109,2367,3078,4000
523,1188,2445,3289,4313
547,1000,2469,3305,4242
1320,2422,3102,3594,4453
1164,2094,2531,3477,4461
1211,1867,2500,3219,3805
766,1227,2945,3836,4664
992,2266,3055,3672,4664
938,2461,3000,4219,4820
1039,2375,3102,4203,4602
703,914,2250,3063,4297
945,2516,3180,4211,4711
398,2203,3156,4055,4430
383,2164,3203,4383,4563
398,2555,3227,4102,4773
383,2523,3242,4031,4102
367,2500,3234,4031,4336
367,656,2438,3219,4344
633,2516,3211,3719,4023
398,609,2500,3719,4000
359,1477,2484,3609,4352
359,1477,2469,3563,4328
383,1438,2406,3563,3906
383,1438,2492,3602,3992
383,2492,3656,3977,4352
977,2359,2906,3203,4297
734,969,2359,2930,4242
422,1117,2359,3063,4258
438,1180,2563,3188,4180
563,2320,3031,3625,4109
586,1141,2313,3430,4156
484,1125,2273,2938,4250
531,1039,2297,3047,4180
414,1039,2367,2992,4211
367,1039,2359,3133,4047
609,2508,3664,4266,4578
563,1875,2531,3867,4703
563,1703,1898,2531,3867
570,1664,2531,3055,3945
570,1891,2500,2945,4172
570,1344,1820,2664,4250
539,1305,1820,2672,4117
508,1320,1789,2828,4094
484,1742,2820,3977,4797
484,1203,1797,2945,3938
492,1203,1867,2914,4781
492,1320,1836,2953,4781
484,1414,1813,2930,4727
461,1344,1828,2875,4719
453,1344,1797,2938,4617
438,1352,1797,2961,4797
445,1133,1742,2945,4734
445,1133,1883,2781,4867
438,1867,2742,3133,4813
445,1852,2258,2938,4758
492,1234,1938,2867,4805
477,1320,2008,2836,4914
469,1336,2047,2734,4094
469,1336,2688,4109,4789
461,1336,2477,4156,4859
461,1336,2633,4102,4898
469,2219,2672,4156,4930
484,2023,2633,4109,4914
500,1977,2508,4063,4914
578,1977,2438,3992,4906
641,1977,2453,4000,4820
664,1844,2453,3875,4898
672,1789,2320,3898,4766
680,2320,3188,3945,4727
695,2344,3055,3844,4930
711,1227,2273,3859,4781
719,1227,2422,3859,4656
1211,2453,3203,3719,4898
1266,2500,3273,3766,4805
1273,2500,3078,3617,4820
1297,2359,3008,3594,4820
766,1289,2320,3102,4828
734,1266,2313,3047,4891
664,1219,1766,2867,4891
563,1273,1758,2836,4875
523,1523,1727,2820,4867
523,1320,1727,3031,4867
719,1266,2523,3070,4852
711,1266,1734,2492,3070
773,1234,1734,2453,3109
836,1234,1703,2398,3102
625,1297,2602,3281,4859
922,1258,2414,3305,4844
602,1281,2430,3328,4883
938,2539,2805,3211,4328
688,1219,2563,3328,4156
672,1219,2641,3266,4781
688,1219,2578,3289,4781
742,1242,2531,3266,4945
313,1219,2523,3234,4906
398,1148,2531,3234,4813
305,1211,2617,3414,4797
273,1234,2609,3461,4805
359,1250,2594,3383,4773
445,1219,2461,3234,4180
508,1164,1836,2992,4180
484,1188,1828,3023,4289
500,1188,1813,3109,4406
422,1195,1961,2359,4359
461,1359,2141,3117,4469
961,1734,2125,2945,4563
1000,1750,2570,2883,4273
1117,1859,2422,2883,4195
1133,2258,2617,2961,4086
1180,1789,2961,4000,4453
