F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
438,1742,2477,2922,3648
516,1742,2828,3648,4602
1711,2539,3016,3953,4836
1305,1891,3438,3969,4594
1250,1750,2633,3555,4422
828,2008,2594,3047,4445
859,2008,2586,3070,4469
1586,1906,3070,3844,4797
1633,2430,3023,3523,4430
1727,2563,3500,4031,4797
1891,2461,3078,3531,4250
1531,1969,2477,3000,4125
1383,2008,2508,3539,4266
1383,1984,2531,3383,4039
1320,1984,2484,3133,3805
1609,2422,2984,3375,4219
1375,1984,2250,3219,4117
883,1281,2250,3023,4195
883,1297,1563,2625,4023
977,1500,2414,2695,4172
906,1641,2695,4047,4313
773,1555,1992,2688,4031
773,2094,2625,3813,4539
547,2117,2789,3695,4203
547,1492,2133,2648,3859
680,1477,2180,2586,3922
648,1477,2344,3570,4930
641,1516,2219,3648,4852
625,1539,2703,3680,4625
625,1516,2734,3711,4594
570,1508,1977,2867,4508
633,1555,2664,3930,4547
867,1570,2133,3195,4492
633,2023,3430,3734,4008
648,1969,2742,3289,3734
734,1852,2609,3289,3945
758,1703,2828,3289,4008
703,1805,2664,3578,4008
664,1570,2125,2586,4156
664,1570,2586,3813,4164
695,1516,2078,3484,4242
1688,2156,2820,3680,4563
1625,2023,2625,4195,4563
836,2023,2648,4063,4797
648,2039,2648,4063,4641
734,2133,2906,3711,4828
711,1875,2820,3844,4703
703,1859,2688,3820,4180
719,1609,2648,3820,4117
633,1594,2211,2609,3938
664,1602,2609,3789,4398
664,1680,2031,2617,4406
609,2172,2484,4023,4352
609,1953,2484,4055,4570
656,1953,2086,2453,3844
828,2086,3000,3859,4305
805,2117,2953,3344,4477
820,2117,2875,3711,4688
727,1648,2172,3469,3781
656,1570,3023,3469,4234
578,992,1555,2773,4328
898,2234,2953,3664,4172
875,1367,2039,3164,3719
859,2266,3219,3586,4516
875,1594,2719,3586,4313
867,1617,2359,3516,4555
1695,2242,2844,3547,4297
891,1805,2727,3961,4469
836,1453,1805,2367,4164
547,836,1453,2133,4281
750,2039,2852,4016,4875
820,1492,2703,3953,4414
836,2047,2586,3977,4844
555,1500,2055,2531,4016
664,2039,2625,3992,4711
766,1391,2164,4008,4461
750,1367,2102,2672,3836
750,1438,2125,2563,3891
625,1547,2039,2664,3898
727,1438,2039,2703,3906
602,1305,2055,2672,3953
633,1367,2703,4031,4414
609,1359,2008,2648,4430
258,1367,2086,2805,4180
461,1531,2781,4180,4555
492,1398,2164,2891,4242
453,1328,1703,2164,2836
445,1664,2281,2813,4367
445,1703,2133,2906,4352
445,1617,2070,2883,4391
422,1586,2055,2828,4391
445,1586,2070,2813,4570
438,2070,2758,4242,4555
430,2078,2930,4281,4531
414,1609,2008,2789,3805
406,1563,2063,2828,3766
344,1813,2906,3766,4383
367,1945,2953,4266,4617
250,1961,2906,3883,4406
320,648,1516,2148,3883
648,1516,2109,3945,4430
594,1484,2047,2891,3977
391,2008,2727,3000,3969
383,1422,2000,2625,3805
383,1375,2109,2703,3836
648,1375,2078,2695,3000
445,1422,2117,2867,4016
477,1313,1422,2039,3938
469,1313,1969,2813,4148
656,2016,2703,3859,4148
508,2000,2945,3945,4313
328,2086,2984,4320,4633
430,2133,3148,4023,4156
516,2102,3156,3922,4750
523,2086,3109,3906,4836
297,539,2078,3109,3906
320,547,2102,2875,3102
531,2102,2359,2898,3969
313,531,2617,2852,3945
305,2406,3078,3641,3945
531,1578,2094,3141,4141
508,2359,3125,3641,4141
555,1555,2109,2703,4547
508,2164,2742,3781,4594
438,2156,2742,3859,4602
469,1586,2164,3102,4023
523,2086,2789,3148,4000
672,1547,2023,3133,4039
633,1914,2797,3117,4063
617,1844,3047,4070,4414
586,1672,3055,4086,4406
406,1742,3008,3875,4406
438,1594,2109,2859,4516
406,1586,2930,3563,4453
406,1586,2102,2922,4453
406,1594,2938,3766,4414
398,1578,2930,3625,3820
406,1602,2914,3625,4773
445,1648,2102,2914,4633
602,1875,2938,4422,4883
617,1961,3008,4039,4297
633,1984,3063,4008,4352
648,1977,2906,3906,4438
648,1984,2852,3984,4383
766,1961,2961,3945,4203
758,1719,2875,3945,4500
773,1648,2078,2828,3984
805,1734,2836,3992,4508
813,1711,2875,4039,4453
820,1648,2859,4070,4422
813,1680,2891,4117,4422
813,1688,2898,4102,4438
641,836,1680,2914,3961
797,1703,2945,4133,4609
781,1633,2914,4102,4594
680,1625,3023,4094,4586
672,1578,2875,4125,4609
711,1594,3063,4258,4641
695,1586,2750,3219,4516
719,1578,2750,3211,4719
727,1438,2727,3250,4695
695,1414,2727,3234,4586
703,1453,3250,4008,4602
695,1438,3422,4133,4602
727,1492,3195,3742,4609
711,1531,3273,3695,4594
727,1563,3273,3695,4289
703,1547,2672,3289,4313
523,1711,2797,3273,4313
492,1492,2672,3273,4070
500,1469,1898,2656,2922
531,1430,2805,3281,4234
523,1484,2727,3281,4180
492,1641,2750,3328,4344
484,1609,2734,3328,4375
516,2695,3305,3813,4461
500,1516,2820,3859,4516
492,1516,2773,3914,4492
578,1500,2664,3195,4508
531,2070,2711,3266,4203
484,1422,2758,3320,4164
531,2211,2688,3219,4195
523,1578,2211,3156,4281
477,1578,2500,3109,4258
453,2703,3094,3422,4133
375,1445,2609,3352,4133
477,2602,3352,3883,4273
453,2398,2656,3453,4227
445,1867,2398,3438,4180
391,1867,2461,3422,4547
375,1656,2570,3352,4523
406,1625,2461,3609,4492
383,1641,2461,3555,4602
391,1641,2625,3555,4594
391,1688,2844,3555,4242
391,1555,2656,3227,4125
406,1570,2734,3227,4156
406,1805,2703,3133,4180
406,1781,2531,3047,4016
445,1586,2141,2664,4133
609,1555,2125,2789,4023
