F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
1125,1875,2938,3805,4891
1023,1820,2688,3789,4891
914,1813,2836,3859,4945
914,1945,2922,3313,3852
656,1578,2758,3359,4094
656,1547,2594,3086,4336
641,1531,2602,3266,4477
1383,1938,2563,3383,4445
648,1648,2766,3820,4789
703,1250,2180,4109,4680
703,1266,1984,3734,4469
703,1258,2039,3617,4219
789,1695,2508,3859,4383
906,1297,1695,2500,4203
1148,1570,1852,2383,3656
1570,1852,2258,2750,3695
1883,2258,2867,3891,4172
1383,1977,3109,3836,4258
1367,1977,3656,4344,4688
828,1586,1977,3672,4727
766,1406,2039,3430,4820
703,1250,1930,3047,3680
1055,1797,3086,3680,4766
898,1914,2992,3430,4648
1234,2148,3258,4328,4914
844,1789,3359,4219,4813
1906,2336,3328,4141,4711
1188,1945,3102,4250,4797
1430,2156,2711,4008,4664
1195,1789,2719,3180,3969
1195,1938,2867,3180,4063
1195,1852,3336,3992,4891
1453,2320,3188,4195,4750
117,1164,3000,3875,4500
1367,2398,3328,3805,4578
211,1305,2383,2977,4148
1281,1602,2828,3977,4844
1281,2258,2703,3445,4813
1266,1852,3063,3836,4391
352,1836,2203,3445,4438
344,1633,2438,3242,4117
344,1297,2508,4133,4805
1070,2094,3570,4117,4570
1227,2023,2477,3680,4227
945,1445,2125,3641,4734
1203,2164,3234,3703,4680
758,2219,3102,3695,3977
789,2180,2617,3180,3977
859,1992,2617,3805,4117
844,1375,2172,2680,3539
1453,2039,3539,4469,4703
1555,2242,3750,4313,4781
1914,2523,3422,4492,4781
1500,2523,3359,3703,4805
1602,2555,3227,3641,4891
1328,1602,2430,3227,4469
1328,2234,2906,3219,4633
1320,2430,2906,3719,4766
1367,2297,3016,3719,4820
1242,2438,3078,3758,4523
1328,2398,3281,3758,4695
1180,2172,3195,3758,4258
1359,2172,2523,3133,4445
1211,2398,3203,4234,4688
1211,1359,2008,3219,4727
1359,2195,3000,3445,4734
1320,2023,2547,3344,4531
891,2383,3344,4055,4727
930,2281,2813,3711,4055
1336,2453,3273,3711,4086
70,1375,2578,3867,4445
1547,2539,3055,3445,4367
1367,2000,2352,3055,4313
1344,2047,2320,3391,4242
1125,1914,3102,3813,4453
1234,2125,3063,3852,4461
1289,2430,3469,3758,4227
1227,2281,2742,3758,4242
1445,2094,2742,3609,4266
891,1469,2617,3695,4242
828,1602,2000,2719,4281
1523,2320,2813,3461,4266
1414,2484,3172,3680,4266
1430,1992,2484,2930,3875
1398,2000,2656,3156,3695
469,1398,2203,2547,2883
461,1508,2586,3492,4211
453,1398,2625,3406,4156
406,1430,2477,3406,4383
375,1227,2258,3617,4430
406,1398,2289,2852,4109
523,1555,2813,3477,3992
445,1375,2430,3406,4508
375,1703,2383,2930,3641
758,1336,2758,3477,4508
594,758,1336,2766,3859
594,1422,2719,3719,4313
133,1383,2219,3891,4492
1398,2078,2594,3852,4883
617,1438,2516,3984,4883
617,1430,2547,3320,4883
805,1469,2570,3578,4266
789,1523,2633,3563,4297
1578,2344,2680,3523,4188
1539,2375,3180,3813,4188
758,1539,2867,3602,4266
898,1563,2367,3133,4227
1117,1547,2484,2820,3844
180,1008,1547,2875,3750
852,1484,2672,3406,3883
852,1531,2820,3422,4117
1102,1609,2828,3422,3781
945,1609,2461,2875,3758
1016,1625,2586,2875,3805
945,1578,3180,3836,4508
578,1500,2539,2977,4445
641,1516,2391,3281,3766
641,1570,2523,3211,3875
1500,2211,3023,3453,4102
1453,2539,2977,3508,4180
1477,2484,3008,3445,4164
625,2273,3445,3922,4898
609,2188,2688,3250,3875
2234,2750,3250,3813,4773
1016,2250,3328,3711,4555
1133,2281,2953,3438,4156
797,1133,1203,3336,4156
609,1203,2195,3422,4234
625,1070,1523,3320,4250
617,1523,3125,4172,4734
602,1547,2797,4117,4648
578,1555,2844,4055,4648
469,1555,2859,3938,4672
516,1656,2656,2844,4586
617,1836,2617,4000,4625
578,1703,2789,4000,4672
570,1805,2836,4047,4711
633,1547,2836,4008,4609
555,2063,2625,3148,4094
539,2133,2727,3008,4086
563,1125,2383,2992,4047
547,1125,2719,3000,4078
539,1125,2219,2898,4023
523,1188,2188,2883,4102
500,1203,2242,2836,4086
422,1250,2211,2867,4078
453,1250,2117,2805,4086
281,2141,2930,3336,4070
305,2195,2898,3328,4031
438,2109,2930,3508,4055
438,2156,2875,4055,4633
445,2148,2906,4023,4531
578,1609,2945,3984,4531
445,1664,2539,2945,4000
602,2172,2531,3273,4203
625,1602,2148,3523,4234
586,1602,2195,2781,4172
648,1602,2211,2813,4391
688,1602,2375,2930,4109
664,2602,3156,3922,4297
625,2102,3086,3922,4273
625,2195,2961,4242,4711
555,2203,3742,4250,4719
750,2242,3063,4242,4750
578,2242,2750,3055,3930
516,2328,3055,4203,4883
383,2578,3094,4250,4758
422,2648,3047,3359,4313
438,2414,3047,4336,4859
461,2602,3141,4344,4578
406,2578,3172,4094,4641
391,2578,3117,3961,4664
375,2688,3141,3992,4500
383,2688,3000,4273,4867
359,3047,4047,4320,4695
383,1492,2992,4070,4594
352,1719,3055,4070,4594
336,1172,2938,4078,4703
336,1797,3000,4172,4703
711,1031,2805,4500,4813
359,781,1039,1578,2797
375,914,2695,3273,4383
492,2586,3219,4117,4758
492,2578,3219,4313,4789
539,1961,2539,3953,4602
570,2180,2789,3750,4414
602,1992,2781,3359,3711
609,1727,2688,3383,4320
602,1852,2695,3383,4297
477,1719,2688,3492,4211
484,1781,2648,4133,4508
469,1820,2648,4242,4758
445,1695,2633,4266,4758
492,1703,2648,4164,4508
477,1703,2750,3305,4391
484,1664,2773,3344,4391
531,1633,2766,2992,4391
