F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
1219,2320,3484,3922,4617
1320,2258,3359,3922,4531
1828,3352,3797,4438,4805
1516,2031,2648,3375,4906
1828,2758,3227,4313,4898
1227,1898,2484,3055,4516
1250,1938,2484,3836,4500
1375,2477,3211,3719,4914
1070,2281,3242,3719,4844
1516,1922,3250,4031,4594
1000,1656,2922,3250,3820
1867,2453,3430,3875,4844
1867,2672,3477,3891,4648
1852,2852,3195,4016,4789
1023,1852,2695,3422,4086
938,1727,2758,3492,4820
891,2063,2719,4070,4828
867,1422,2789,3484,4234
867,1383,2203,2563,3438
1242,1859,2664,3867,4508
1344,1992,3000,3469,4164
1445,2023,2844,3938,4664
1500,2664,3555,4227,4664
1531,2375,3203,4141,4844
1859,2688,3289,3977,4789
1313,1648,2133,2430,4641
1313,2133,3266,4000,4242
1281,2023,2328,2898,4023
391,1992,2898,4156,4523
391,1219,1875,2914,4641
539,1547,3172,4508,4859
539,563,1563,3133,4883
563,1320,2055,3008,4383
531,1453,2797,3203,4172
828,1859,2875,3813,4664
484,1813,2969,3938,4594
703,1859,2828,3633,4594
805,1906,3102,4039,4719
875,2281,3031,4172,4852
570,1438,2320,3086,3992
570,1641,2344,2992,4180
539,1578,2664,3156,4141
680,1820,2844,3281,4141
328,820,1695,3305,4266
328,594,1273,2023,3414
539,1289,1695,2023,3227
1281,1695,2023,3078,4180
1445,1813,2383,3711,4180
1359,1984,3227,3711,4289
1336,2461,3313,3719,4625
1336,2414,3203,3750,4578
1070,2414,3578,4359,4844
1320,2539,2977,3578,4289
930,1352,2445,3609,4289
1016,2445,2805,3594,4727
1148,1969,3016,3734,4180
1344,2563,3016,3844,4781
1352,1984,3016,3500,4172
1000,2047,2789,3438,4523
891,1406,2219,3789,4547
1383,3313,3703,4039,4672
1258,2516,2977,3906,4789
1258,1789,2289,3266,4500
1258,1695,3023,3297,4508
1352,1875,2266,2867,4898
852,1523,2391,3500,4922
922,1391,2344,3148,3789
1336,2391,3453,4430,4813
789,1164,2094,3086,3930
594,2094,2766,3844,4430
898,1391,2250,3250,3664
1008,1383,2211,2914,3508
828,1383,2664,3320,4031
750,1336,2242,3031,3852
2055,3344,3703,4367,4867
1133,2023,2695,3813,4555
922,1961,2547,3828,4844
1570,2250,2875,3656,4852
961,1297,2672,3563,4766
961,1492,2633,3109,4727
930,1352,1633,2297,3398
922,1344,2266,3852,4258
898,1328,2242,3844,4484
734,1328,2336,3617,4758
1266,2344,3133,3398,4766
961,1266,3398,3969,4727
859,1406,3289,3969,4648
891,1344,2648,4047,4711
961,2578,3195,3531,4469
1156,2414,3070,3742,4633
953,1445,2758,3563,4078
859,1508,2836,3563,4055
1773,2359,2938,3945,4727
906,1813,2445,3500,4547
1820,2828,3656,4383,4898
1242,2266,2914,3469,4539
1242,1922,3086,4039,4578
1266,2000,3234,3719,4039
1234,2055,2922,3281,4086
1344,2922,3297,4172,4563
1320,1813,2164,3414,4766
1320,2422,2977,3820,4734
1172,1930,2734,3594,4563
1406,1727,2531,3484,4844
820,1320,1852,2938,3414
938,1320,2063,3148,3703
1406,1961,2984,4039,4898
922,1438,2727,3781,4914
711,1414,2383,2930,3844
641,1633,2469,3281,4859
641,1617,2602,3320,4680
750,2047,2344,3570,4531
836,2344,3492,4320,4758
2148,2656,3289,3797,4727
2250,2656,3180,3867,4297
1820,2461,2797,3766,4375
2055,2703,3016,3656,4211
680,2047,2578,3016,4539
750,1867,2578,4047,4539
750,844,1453,1961,4633
844,1453,2055,3773,4258
539,1414,2445,3609,4453
539,2328,3625,4164,4609
1023,1570,2367,2867,4477
344,1133,3094,3766,4453
344,1133,3031,3641,4664
1125,1578,2797,3211,4414
891,1594,2750,3219,4445
555,1977,2625,3844,4797
578,1961,2539,3773,4609
555,1914,2461,4148,4617
555,1672,2398,3977,4594
555,1594,2492,3922,4492
602,1984,3133,3969,4477
563,2055,3125,3773,4539
516,2125,3102,4242,4461
563,2117,3109,3758,4266
539,2352,3141,3758,4375
805,2313,3117,3805,4445
531,2273,3164,3805,4352
508,2281,3133,3805,4609
570,2156,3086,3938,4758
781,2156,2703,3828,4898
1070,2109,3055,4055,4516
922,2172,2586,3008,4523
594,1406,2211,3672,4680
609,1336,1992,2516,3586
1000,1992,2648,3508,4430
805,1977,2656,3508,4188
641,1563,2188,4234,4719
641,1023,1555,2156,4180
805,1742,2430,3023,4523
852,2070,3234,4438,4797
898,1508,2047,2563,4438
773,1578,2172,2586,4594
594,1570,2219,3625,4648
625,2188,3195,3625,4586
500,1273,2250,3008,3734
531,1680,2289,3148,4578
547,1453,2344,3070,4281
461,1445,2500,3203,4422
453,1586,2492,3180,4414
430,1563,2523,3219,4375
430,1352,2641,3281,4375
477,1352,2680,3188,4289
414,2734,3117,3781,4297
406,2789,3781,4219,4859
422,844,2805,3086,4141
391,1008,3078,3844,4758
336,945,3023,3844,4641
789,1367,3070,3844,4594
844,1344,2953,3867,4773
961,1313,3180,4289,4766
914,1461,1734,3000,4289
813,1352,1734,2750,4211
891,1570,2359,3063,4602
852,1570,2680,3117,4508
453,945,2602,3023,4508
445,883,2641,3055,4508
453,2227,2961,4297,4688
516,2219,2953,4273,4695
602,2219,2750,3039,4680
711,2375,2750,3133,4906
820,2445,2773,3086,4328
844,1992,2727,3078,4672
875,1664,2016,3078,4547
813,1664,2055,3133,4570
836,2047,3141,4313,4578
781,1875,2453,3148,4367
727,1844,2469,3102,4484
656,1922,2523,3148,4570
578,1938,3242,3852,4594
656,1914,3078,3344,3664
609,1961,2891,3664,4586
438,1859,3016,3914,4633
539,1898,2930,3703,4656
547,1922,3016,3695,4664
508,1961,3031,3711,4539
