Timestamp,Age,Gender,Country of birth,Country of residence,Native language(s),Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate the following voice on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below
10/28/2020 14:10:30,31,Male,United States of America,United States of America,English,5,3,4,2,2,2,4,2,2,3,2,2,3,5,2
10/28/2020 14:19:22,29,Male,UK,UK,English,5,3,3,6,6,2,2,2,1,2,4,5,1,6,1
10/28/2020 14:42:10,36,female,USA,Germany,English,5,6,3,6,5,5,2,3,1,3,3,1,4,1,1
10/28/2020 15:25:26,27,Male,080193,Danmark,Dansk,5,4,4,7,7,6,1,4,5,4,6,2,7,3,6
10/28/2020 16:08:07,24,Kvinde ,Danmark,Danmark ,Dansk ,6,5,2,2,2,5,1,4,4,3,3,4,3,5,1
10/28/2020 16:39:10,21,Female,Switzerland    ,Denmark,Danish,6,6,3,7,7,4,3,3,3,1,3,1,4,4,1
10/28/2020 16:49:43,53,male,Argentina,Denmark,Spanish,5,4,5,6,6,7,2,1,1,2,4,1,2,2,1
10/28/2020 17:16:56,29,Woman,Denmark ,Denmark,Danish,4,3,2,3,3,3,1,1,1,1,2,2,2,1,1
10/28/2020 17:23:39,23,Female,Venezuela,Denmark,"Spanish, Portuguese",6,2,6,4,4,7,2,1,2,4,1,4,3,4,1
10/28/2020 17:36:36,31,Female,Argentina,Argentina,Spanish,3,6,5,3,3,7,4,2,1,3,3,1,2,1,1
10/28/2020 17:40:43,36,male,Argentina,Argentina,Spanish,4,3,4,5,5,7,1,4,1,4,1,2,4,3,1
10/28/2020 18:07:11,36,male,Argentina,Argentina,Spanish,3,2,2,5,6,2,1,3,2,4,2,1,5,3,1
10/28/2020 18:22:21,39,Male,Argentina,Argentina,Spanish,6,2,4,2,2,3,3,2,3,5,2,5,4,5,2
10/28/2020 18:48:54,20,Female,Germany ,Denmark,German,5,6,4,5,5,4,1,2,1,3,4,1,4,3,1
10/28/2020 20:12:31,48,Female,Sweden,Denmark,Danish,2,5,4,2,2,5,2,1,1,1,2,2,2,5,1
10/28/2020 20:27:13,21,"who knows? not me, that's for sure",Denmark,Denmark,Danish,6,7,4,3,2,1,2,1,1,1,1,1,4,1,2
10/28/2020 20:29:35,21,Male,Denmark,Denmark,Danish,6,7,3,1,2,5,2,3,1,5,2,2,5,2,2
10/28/2020 22:01:58,25,Female,Denmark,Nicaragua,Danish,5,4,2,3,3,5,1,2,1,4,2,5,3,5,2
